[Tema 5 Scilab] Lectura de datos externos (CSV);Se utiliza la función $csvRead('ruta/archivo.csv')$. Permite importar datos tabulares directamente desde un archivo CSV.
[Tema 5 Scilab] Conversión de datos leídos (Strings a Números);Si los datos se importan como texto, se emplea $evstr(matriz)$ para convertirlos en valores numéricos. Nota: $csvRead$ suele detectar números automáticamente.
[Tema 5 Maxima] Cargar paquete para archivos de datos;Se utiliza el comando $load(numericalio)$. Es imprescindible para usar funciones de lectura de archivos.
[Tema 5 Maxima] Lectura de archivos de datos;Se utiliza el comando $read\_matrix("ruta/archivo.txt")$ o $read\_list$. Requiere haber cargado previamente $numericalio$.
[Tema 5 Scilab] Media aritmética de un conjunto;Se utiliza la función $mean(x)$. Si es una matriz, se puede especificar el sentido con $'r'$ (filas) o $'c'$ (columnas).
[Tema 5 Scilab] Desviación típica muestral;Se utiliza la función $stdev(x)$.
[Tema 5 Maxima] Funciones estadísticas descriptivas;Requiere cargar el paquete con $load(descriptive)$. Proporciona las funciones $mean(lista)$ y $std(lista)$.
[Tema 5 Scilab] Regresión lineal simple;Se utiliza el comando $[a, b] = reglin(x, y)$ para obtener los coeficientes de la recta $y = ax + b$.
[Tema 5 Scilab] Interpolación lineal;Se utiliza la función $interpln(datos, x\_eval)$, donde $datos$ debe ser una matriz de dos filas $[x; y]$.
[Tema 5 Scilab] Interpolación por Splines (Paso 1: Derivadas);Se utiliza la función $d = splin(x, y)$ para calcular las pendientes en los nodos.
[Tema 5 Scilab] Interpolación por Splines (Paso 2: Evaluación);Se utiliza la función $y\_eval = interp(x\_eval, x, y, d)$ usando las derivadas obtenidas con $splin$.
[Tema 5 Maxima] Paquete para mínimos cuadrados;Se utiliza el comando $load(lsquares)$.
[Tema 5 Maxima] Estimación por mínimos cuadrados;Se usa $lsquares\_estimates(matriz, [x,y], ecuacion, [params])$. Ejemplo: $lsquares\_estimates(M, [x,y], y=a*x+b, [a,b])$.
[Tema 5 Maxima] Paquete para interpolación;Se utiliza el comando $load(interpol)$.
[Tema 5 Maxima] Interpolación polinómica de Lagrange;Se utiliza la función $lagrange(puntos)$. Genera el polinomio que pasa exactamente por todos los puntos.
[Tema 5 Maxima] Interpolación por Splines cúbicos;Se utiliza la función $cspline(puntos)$.
[Tema 5 Scilab] Exportación de resultados a archivo (CSV);Se utiliza la función $csvWrite(M, 'archivo.csv')$.
